gcc_compilation_time,gcc_program_time,bin_size,opt,iteration,grammar_name,data_structure,compiler
3.1472209799999997,2.00583614044,66930.0,-O0,8,ex8,sortedlist,gcc5
3.7383263058,1.71661711099,41143.0,-O1,8,ex8,sortedlist,gcc5
4.419057287049999,1.6002146331200002,42193.0,-O2,8,ex8,sortedlist,gcc5
4.53113492748,1.61110716757,42009.0,-O3,8,ex8,sortedlist,gcc5
4.08168295478,1.78029622709,32491.0,-Os,8,ex8,sortedlist,gcc5
3.37161614719,1.7303485640200003,38440.0,-Og,8,ex8,sortedlist,gcc5
3.3178260225100003,1.9761770122999998,66930.0,-O0,8,ex8,sortedlist,gcc7
4.030970173469999,1.7604509623500004,41310.0,-O1,8,ex8,sortedlist,gcc7
4.720787365199999,1.64241835061,41761.0,-O2,8,ex8,sortedlist,gcc7
4.7931357155,1.6218964136300003,41409.0,-O3,8,ex8,sortedlist,gcc7
4.4240075899099995,1.7669366561600004,31161.0,-Os,8,ex8,sortedlist,gcc7
3.6362055042800003,1.7203869784599999,39153.0,-Og,8,ex8,sortedlist,gcc7
3.26185826811,1.96221039938,67045.0,-O0,8,ex8,sortedlist,gcc9
4.1133592090299995,1.7249021651699998,39842.0,-O1,8,ex8,sortedlist,gcc9
4.959319073549999,1.6734331509500002,42153.0,-O2,8,ex8,sortedlist,gcc9
4.995544114580001,1.5851428393799998,42225.0,-O3,8,ex8,sortedlist,gcc9
4.5985083513500005,1.7551133055600001,31816.0,-Os,8,ex8,sortedlist,gcc9
3.6987157003299993,1.7676218498700003,38450.0,-Og,8,ex8,sortedlist,gcc9
3.5004529717899997,1.9239895301699999,67058.0,-O0,8,ex8,sortedlist,gcc11
4.385996689310001,1.64602113816,39905.0,-O1,8,ex8,sortedlist,gcc11
5.33481360095,1.66213509578,42550.0,-O2,8,ex8,sortedlist,gcc11
5.45216471825,1.4590481812800005,42306.0,-O3,8,ex8,sortedlist,gcc11
4.92788545607,1.7852924282500005,31433.0,-Os,8,ex8,sortedlist,gcc11
3.9303769945699996,1.77546549825,38534.0,-Og,8,ex8,sortedlist,gcc11
3.7278090513500004,1.9233115904200002,66954.0,-O0,8,ex8,sortedlist,gcc13
4.862092996380001,1.6871360758000005,39064.0,-O1,8,ex8,sortedlist,gcc13
5.950982659079999,1.6487724793900003,42678.0,-O2,8,ex8,sortedlist,gcc13
6.050772171219999,1.4342735627000003,42094.0,-O3,8,ex8,sortedlist,gcc13
5.47401609038,1.8095208051899998,31165.0,-Os,8,ex8,sortedlist,gcc13
4.2598922972899995,1.8172410609800003,38344.0,-Og,8,ex8,sortedlist,gcc13
3.9150722305500003,1.9088610534600001,66954.0,-O0,8,ex8,sortedlist,gcc14
5.10040614935,1.66846805423,39064.0,-O1,8,ex8,sortedlist,gcc14
