program,depth,lang,cpu_cycle,cpu_instructions,cpu_branches,cpu_branch_misses,cpu_cache_references,cpu_cache_misses,cpu_stalled_cycles_frontend,cpu_stalled_cycles_backend,cpu_L1_dcache_loads,cpu_L1_dcache_load_misses,cpu_LLC_loads,cpu_LLC_load_misses,cpu_dTLB_loads,cpu_dTLB_load_misses,execution_time
ex8,11,ada (unsafe -gnatp),817450518343,3337534145294,1030974545398,986961184,798102165,3402760,19670303507,<not supported>,949490712695,450039365,<not supported>,<not supported>,32118836,1675980,155.003214866
ex8,11,ada (unsafe -gnatp),816781103837,3337931686930,1031143919997,983297447,774448881,2769867,19820699340,<not supported>,948994941253,472373573,<not supported>,<not supported>,32410503,1664110,153.991265274
ex8,11,ada (unsafe -gnatp),817343678040,3337117204721,1030908990679,1008257984,857858630,2750477,20171897791,<not supported>,949146136538,488717728,<not supported>,<not supported>,31736172,1610258,153.777406837
ex8,11,ada (unsafe -gnatp),817184905748,3337090715396,1030989205685,984977168,887512104,2709096,19800596386,<not supported>,949347845801,517881676,<not supported>,<not supported>,32037125,1658780,153.687434108
ex8,11,odin,1919530791429,7495323093841,1814723098384,2341466513,2988961197,433193862,40066346201,<not supported>,3051432917193,1741178157,<not supported>,<not supported>,285051322,154740619,365.966523203
ex8,11,odin,1918281340753,7494500121215,1814741069228,2320428290,2975932598,432587357,40202788371,<not supported>,3051393044619,1715844887,<not supported>,<not supported>,281766262,154132292,363.570502445
ex8,11,odin,1918022465644,7495431965904,1815226540439,2346561286,2955812034,430333825,40591138053,<not supported>,3051534963925,1726100309,<not supported>,<not supported>,283349372,154291165,364.560436343
ex8,11,odin,1919945543002,7494872838266,1814850637516,2349657761,3090187607,434424384,41747752660,<not supported>,3051533198622,1798902086,<not supported>,<not supported>,284581144,154994436,364.498530497
ex8,11,odin,1917269059971,7493432497555,1814277200737,2339861123,3011325334,436449881,40304333876,<not supported>,3051812065623,1731736390,<not supported>,<not supported>,283489626,154181187,364.313380756
ex8,11,ada (safe),2279602893484,11798884987291,3300079619651,853060589,1557889845,20384760,17794097138,<not supported>,3711893176215,832171267,<not supported>,<not supported>,73584820,3399630,446.624103626
ex8,11,ada (safe),2274692589785,11799337319083,3300049026102,832759843,1574896898,21428694,17141998926,<not supported>,3711424791418,850288294,<not supported>,<not supported>,73570954,3382839,447.710623013
ex8,11,ada (safe),2283516417343,11798238400567,3299857130466,833899123,1613549630,22338914,18761882870,<not supported>,3715122923035,860036595,<not supported>,<not supported>,74679330,3379340,442.948110626
ex8,11,ada (safe),2277407136537,11799527225231,3300097761152,803126392,1582630390,22893960,17147129228,<not supported>,3711743579442,842989149,<not supported>,<not supported>,74726272,3360180,445.276588102
ex8,11,ada (safe),2274671455303,11798497770425,3299820567169,847967664,1600703004,16848597,17552456399,<not supported>,3711998377172,876871109,<not supported>,<not supported>,76049961,3554915,439.546449638
ex8,11,cangjie,902269634625,4613097475520,1423950749554,1258704557,15722196647,771440619,31405232494,<not supported>,1187526536171,9774984162,<not supported>,<not supported>,201969002,77690612,166.946338948
ex8,11,cangjie,902268961411,4612206426156,1423601044348,1259837422,15710034404,753167648,31209222815,<not supported>,1188218278421,9738521170,<not supported>,<not supported>,207751054,77887905,168.917571504
ex8,11,cangjie,907702254526,4615363116305,1424353741017,1358890195,15977190898,782898253,34035634901,<not supported>,1189906178365,9882725475,<not supported>,<not supported>,216992160,79248557,169.915678799
ex8,11,cangjie,905215120532,4610665143972,1423502749120,1315412243,15862993315,763332586,33068200780,<not supported>,1190625660497,9817398243,<not supported>,<not supported>,216965933,79241336,169.698443831
ex8,11,cangjie,902883490779,4611804268689,1424179401908,1263489553,15739808540,762622481,31386971905,<not supported>,1188007027991,9768990884,<not supported>,<not supported>,206379177,77973981,167.896279867
